SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM23
Create Time: 2026-06-09, 15:53:53
Computer Name: Äüÿ
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

36	15:52:48.130	0.00000120	Ai_Thinker_PDO	IOCTL_SERIAL_SET_HANDFLOW           	COM23	SUCCESS	ControlHandShake: 0x1, FlowReplace: 0x0, XonLimit: 0, XoffLimit: 0	
37	15:52:48.130	0.00030760	Ai_Thinker_PDO	IOCTL_SERIAL_SET_BAUD_RATE          	COM23	SUCCESS	Baud Rate: 115200	
38	15:52:48.131	0.00000230	Ai_Thinker_PDO	IOCTL_SERIAL_CLR_RTS                	COM23	SUCCESS		
39	15:52:48.131	0.00017190	Ai_Thinker_PDO	IOCTL_SERIAL_SET_DTR                	COM23	SUCCESS		
40	15:52:48.131	0.00029190	Ai_Thinker_PDO	IOCTL_SERIAL_SET_LINE_CONTROL       	COM23	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
41	15:52:48.131	0.00000230	Ai_Thinker_PDO	IOCTL_SERIAL_SET_CHARS              	COM23	SUCCESS	EofChar: 0x10, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0x0, XoffChar: 0xC2	
42	15:52:48.131	0.00004240	Ai_Thinker_PDO	IOCTL_SERIAL_SET_HANDFLOW           	COM23	SUCCESS	ControlHandShake: 0x1, FlowReplace: 0x0, XonLimit: 0, XoffLimit: 0	
43	15:52:48.131	0.00000350	Ai_Thinker_PDO	IOCTL_SERIAL_PURGE                  	COM23	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
44	15:52:48.136	0.00010700	Ai_Thinker_PDO	IRP_MJ_WRITE                        	COM23	SUCCESS	Length: 10, Data: 41 54 2B 44 45 43 41 24 0D 0A 	
45	15:52:48.171	0.00001410	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 149, Data: 4A 53 30 30 38 44 7B 22 49 6E 66 6F 22 3A 7B 0D 0A 22 44 65 76 69 63 65 22 3A 22 50 44 4F 41 20 4E 6F 64 65 22 2C 0D 0A 22 56 65 72 73 69 6F 6E 22 3A 22 56 31 2E 30 2E 30 22 2C 0D 0A 22 42 75 	
46	15:52:48.171	1.10353870	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
47	15:52:48.171	0.00000170	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
48	15:52:48.172	0.00000920	Ai_Thinker_PDO	IOCTL_SERIAL_PURGE                  	COM23	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
49	15:52:48.172	0.00000210	Ai_Thinker_PDO	IOCTL_SERIAL_PURGE                  	COM23	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
50	15:52:49.273	0.00014580	Ai_Thinker_PDO	IRP_MJ_WRITE                        	COM23	SUCCESS	Length: 13, Data: 41 54 2B 47 45 54 4B 4C 49 53 54 0D 0A 	
51	15:52:49.278	0.00003570	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 12, Data: 7B 22 4B 4C 69 73 74 22 3A 5B 5D 7D 	
52	15:52:49.279	1.99369920	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
53	15:52:49.279	0.00000240	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
54	15:52:51.270	0.00016290	Ai_Thinker_PDO	IRP_MJ_WRITE                        	COM23	SUCCESS	Length: 26, Data: 41 54 2B 47 45 54 44 4C 49 53 54 0D 0A 41 54 2B 47 45 54 4B 4C 49 53 54 0D 0A 	
55	15:52:51.272	0.00000420	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 25, Data: 7B 22 44 4C 69 73 74 22 3A 5B 20 5D 7D 7B 22 4B 4C 69 73 74 22 3A 5B 5D 7D 	
56	15:52:51.272	15.25780570	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
57	15:52:51.272	0.00000180	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
58	15:53:06.538	0.00001730	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 37, Data: 4A 53 30 30 31 44 7B 22 4E 65 77 54 61 67 22 3A 22 30 34 33 34 30 30 30 38 36 44 44 33 36 35 37 42 22 7D 0D 0A 	
59	15:53:06.538	4.77425200	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
60	15:53:06.538	0.00000190	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
61	15:53:11.309	0.00008390	Ai_Thinker_PDO	IRP_MJ_WRITE                        	COM23	SUCCESS	Length: 26, Data: 41 54 2B 47 45 54 44 4C 49 53 54 0D 0A 41 54 2B 47 45 54 4B 4C 49 53 54 0D 0A 	
62	15:53:11.310	0.00009140	Ai_Thinker_PDO	IRP_MJ_WRITE                        	COM23	SUCCESS	Length: 44, Data: 41 54 2B 41 44 44 54 41 47 3D 30 34 33 34 30 30 30 38 36 64 64 33 36 35 37 62 2C 36 35 37 62 2C 30 30 30 31 2C 36 34 2C 30 30 0D 0A 	
63	15:53:11.349	0.00001610	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 151, Data: 7B 22 44 4C 69 73 74 22 3A 5B 20 22 30 34 33 34 30 30 30 38 36 44 44 33 36 35 37 42 22 5D 7D 7B 22 4B 4C 69 73 74 22 3A 5B 5D 7D 4A 53 30 30 36 34 7B 22 54 61 67 41 64 64 65 64 22 3A 20 7B 22 	
64	15:53:11.349	0.00000210	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
65	15:53:11.349	0.00006490	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
66	15:53:11.349	20.02785630	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
67	15:53:31.372	0.00011120	Ai_Thinker_PDO	IRP_MJ_WRITE                        	COM23	SUCCESS	Length: 26, Data: 41 54 2B 47 45 54 44 4C 49 53 54 0D 0A 41 54 2B 47 45 54 4B 4C 49 53 54 0D 0A 	
68	15:53:31.449	0.00002030	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 111, Data: 7B 22 44 4C 69 73 74 22 3A 5B 20 5D 7D 7B 22 4B 4C 69 73 74 22 3A 5B 7B 22 73 6C 6F 74 22 3A 22 30 30 30 31 22 2C 22 61 36 34 22 3A 22 30 34 33 34 30 30 30 38 36 44 44 33 36 35 37 42 22 2C 22 	
69	15:53:31.449	2.29736370	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
70	15:53:31.449	0.00000240	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
71	15:53:33.786	0.00004370	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 230, Data: 4A 53 30 30 36 41 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 30 2C 22 54 22 3A 37 37 34 30 36 38 2C 22 44 22 3A 31 32 31 2C 22 50 22 3A 34 2C 22 58 63 6D 22 	
72	15:53:33.786	0.00007000	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
73	15:53:33.786	0.00003570	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
74	15:53:33.790	0.00492760	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
75	15:53:33.855	0.00005190	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 232, Data: 4A 53 30 30 36 43 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 32 2C 22 54 22 3A 37 37 34 31 31 38 2C 22 44 22 3A 31 32 30 2C 22 50 22 3A 31 39 2C 22 58 63 6D 	
76	15:53:33.855	0.00000450	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
77	15:53:33.855	0.00000360	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
78	15:53:33.858	0.00288020	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
79	15:53:33.960	0.00001950	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 348, Data: 4A 53 30 30 36 43 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 34 2C 22 54 22 3A 37 37 34 31 38 30 2C 22 44 22 3A 31 32 33 2C 22 50 22 3A 32 32 2C 22 58 63 6D 	
80	15:53:33.960	0.00000330	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
81	15:53:33.960	0.00000230	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
82	15:53:33.961	0.00680510	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
83	15:53:34.046	0.00002550	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 348, Data: 4A 53 30 30 36 43 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 37 2C 22 54 22 3A 37 37 34 32 39 31 2C 22 44 22 3A 31 32 30 2C 22 50 22 3A 33 33 2C 22 58 63 6D 	
84	15:53:34.046	0.00005080	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
85	15:53:34.046	0.00004220	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
86	15:53:34.047	0.00002710	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 117, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 31 30 2C 22 54 22 3A 37 37 34 33 36 36 2C 22 44 22 3A 31 32 32 2C 22 50 22 3A 33 30 2C 22 58 63 	
87	15:53:34.047	0.00000140	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
88	15:53:34.047	0.00000120	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
89	15:53:34.048	0.02292290	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
90	15:53:34.304	0.00002250	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 936, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 31 31 2C 22 54 22 3A 37 37 34 33 39 31 2C 22 44 22 3A 31 32 34 2C 22 50 22 3A 33 34 2C 22 58 63 	
91	15:53:34.304	0.00000360	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
92	15:53:34.304	0.00000250	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
93	15:53:34.308	0.00001850	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 117, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 31 39 2C 22 54 22 3A 37 37 34 36 32 37 2C 22 44 22 3A 31 32 34 2C 22 50 22 3A 33 32 2C 22 58 63 	
94	15:53:34.308	0.00000320	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
95	15:53:34.308	0.00000240	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
96	15:53:34.308	0.02034980	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
97	15:53:34.366	0.00002440	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 234, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 32 30 2C 22 54 22 3A 37 37 34 36 35 32 2C 22 44 22 3A 31 32 33 2C 22 50 22 3A 34 30 2C 22 58 63 	
98	15:53:34.366	0.00000330	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
99	15:53:34.366	0.00000240	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
100	15:53:34.367	0.01485570	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
101	15:53:34.421	0.00002730	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 234, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 32 32 2C 22 54 22 3A 37 37 34 37 30 32 2C 22 44 22 3A 31 32 32 2C 22 50 22 3A 33 39 2C 22 58 63 	
102	15:53:34.421	0.00006130	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
103	15:53:34.421	0.00000220	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
104	15:53:34.421	0.00448410	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
105	15:53:34.503	0.00002410	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 351, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 32 34 2C 22 54 22 3A 37 37 34 37 35 32 2C 22 44 22 3A 31 32 32 2C 22 50 22 3A 32 37 2C 22 58 63 	
106	15:53:34.503	0.00000440	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
